record_date,tot_pub_debt_out_amt,record_fiscal_year,record_calendar_year,record_calendar_day
2024-12-09,36172195279062.94,2025,2024,09
2024-12-06,36166037570457.33,2025,2024,06
2024-12-05,36167364938108.44,2025,2024,05
2024-12-04,36170511547438.85,2025,2024,04
2024-12-03,36169413863866.88,2025,2024,03
2024-12-02,36171181955284.36,2025,2024,02
2024-11-29,36087362960612.00,2025,2024,29
2024-11-27,36090597225804.43,2025,2024,27
2024-11-26,36113570535802.53,2025,2024,26
2024-11-25,36052650894794.76,2025,2024,25
2024-11-22,36047523137936.35,2025,2024,22
2024-11-21,36034994586981.97,2025,2024,21
2024-11-20,35973905978114.70,2025,2024,20
2024-11-19,35992291043718.85,2025,2024,19
2024-11-18,35963976342723.91,2025,2024,18
2024-11-15,35959176987940.11,2025,2024,15
2024-11-14,35965533024604.05,2025,2024,14
2024-11-13,35950262427779.69,2025,2024,13
2024-11-12,35963765584299.24,2025,2024,12
2024-11-08,35945396362475.20,2025,2024,08
2024-11-07,35943554220297.64,2025,2024,07
2024-11-06,35912058541218.85,2025,2024,06
2024-11-05,35911107598198.18,2025,2024,05
2024-11-04,35884401015854.36,2025,2024,04
2024-11-01,35866603223541.48,2025,2024,01
2024-10-31,35951601173936.02,2025,2024,31
2024-10-30,35847012590067.17,2025,2024,30
2024-10-29,35848521510437.02,2025,2024,29
2024-10-28,35817406407906.45,2025,2024,28
2024-10-25,35815392559823.53,2025,2024,25
2024-10-24,35809157751119.80,2025,2024,24
2024-10-23,35777371535343.63,2025,2024,23
2024-10-22,35802822173836.96,2025,2024,22
2024-10-21,35772750214886.62,2025,2024,21
2024-10-18,35769732147503.35,2025,2024,18
2024-10-17,35769084471524.38,2025,2024,17
2024-10-16,35743513547464.87,2025,2024,16
2024-10-15,35751271808625.45,2025,2024,15
2024-10-11,35707319682513.26,2025,2024,11
2024-10-10,35680634083932.18,2025,2024,10
2024-10-09,35693841261552.04,2025,2024,09
2024-10-08,35717705665132.67,2025,2024,08
2024-10-07,35682617798771.80,2025,2024,07
2024-10-04,35680514816032.92,2025,2024,04
2024-10-03,35677796842519.70,2025,2024,03
2024-10-02,35677760608035.45,2025,2024,02
2024-10-01,35668947367182.09,2025,2024,01
2024-09-30,35464673929171.69,2024,2024,30
2024-09-27,35321337344400.43,2024,2024,27
2024-09-26,35296367284952.26,2024,2024,26
2024-09-25,35303965164452.88,2024,2024,25
2024-09-24,35324325476368.35,2024,2024,24
2024-09-23,35324636379347.22,2024,2024,23
2024-09-20,35319710736132.06,2024,2024,20
2024-09-19,35327646622839.45,2024,2024,19
2024-09-18,35331269621113.08,2024,2024,18
2024-09-17,35350842310771.10,2024,2024,17
2024-09-16,35346469569597.74,2024,2024,16
2024-09-13,35268781589361.92,2024,2024,13
2024-09-12,35273879754917.38,2024,2024,12
2024-09-11,35309184612870.00,2024,2024,11
2024-09-10,35331161690593.41,2024,2024,10
2024-09-09,35346632271646.61,2024,2024,09
2024-09-06,35343086505566.21,2024,2024,06
2024-09-05,35345572154736.15,2024,2024,05
2024-09-04,35343824738015.02,2024,2024,04
2024-09-03,35319686640609.98,2024,2024,03
2024-08-30,35256056842790.06,2024,2024,30
2024-08-29,35279776145434.29,2024,2024,29
2024-08-28,35269696270863.86,2024,2024,28
2024-08-27,35289492003154.99,2024,2024,27
2024-08-26,35225184901185.83,2024,2024,26
2024-08-23,35213967100485.15,2024,2024,23
2024-08-22,35210350799546.12,2024,2024,22
2024-08-21,35193999279273.78,2024,2024,21
2024-08-20,35215900370093.07,2024,2024,20
2024-08-19,35178034113238.07,2024,2024,19
2024-08-16,35167228191213.46,2024,2024,16
2024-08-15,35169163778240.35,2024,2024,15
2024-08-14,35137624661984.40,2024,2024,14
2024-08-13,35160349582384.67,2024,2024,13
2024-08-12,35126850161739.27,2024,2024,12
2024-08-09,35122527132406.43,2024,2024,09
2024-08-08,35123327978028.47,2024,2024,08
2024-08-07,35094756345920.31,2024,2024,07
2024-08-06,35085786495843.24,2024,2024,06
2024-08-05,35059256376453.14,2024,2024,05
2024-08-02,35051428694554.99,2024,2024,02
2024-08-01,35059402347141.52,2024,2024,01
2024-07-31,35104770649301.03,2024,2024,31
2024-07-30,35043209977687.27,2024,2024,30
2024-07-29,35004415930299.00,2024,2024,29
2024-07-26,35001278179208.67,2024,2024,26
2024-07-25,34997540505103.33,2024,2024,25
2024-07-24,34969578299467.18,2024,2024,24
2024-07-23,34988121329285.52,2024,2024,23
2024-07-22,34950138997139.35,2024,2024,22
2024-07-19,34944251830592.92,2024,2024,19
2024-07-18,34945963278406.29,2024,2024,18
2024-07-17,34923277120226.95,2024,2024,17
2024-07-16,34940154193610.64,2024,2024,16
2024-07-15,34911647554064.35,2024,2024,15
2024-07-12,34889213426967.08,2024,2024,12
2024-07-11,34888939546525.91,2024,2024,11
2024-07-10,34861321658685.01,2024,2024,10
2024-07-09,34884371510047.60,2024,2024,09
2024-07-08,34857390059828.10,2024,2024,08
2024-07-05,34852201287595.04,2024,2024,05
2024-07-03,34847568990054.13,2024,2024,03
2024-07-02,34866040431327.31,2024,2024,02
2024-07-01,34841059628786.80,2024,2024,01
2024-06-28,34831634431393.47,2024,2024,28
2024-06-27,34722776927246.15,2024,2024,27
2024-06-26,34724689266963.11,2024,2024,26
2024-06-25,34748398688455.49,2024,2024,25
2024-06-24,34748602469986.14,2024,2024,24
2024-06-21,34733747766164.31,2024,2024,21
2024-06-20,34725850323608.22,2024,2024,20
2024-06-18,34734110906935.60,2024,2024,18
2024-06-17,34750498829987.55,2024,2024,17
2024-06-14,34681081398133.85,2024,2024,14
2024-06-13,34683580629557.70,2024,2024,13
2024-06-12,34681313704677.46,2024,2024,12
2024-06-11,34702935789016.26,2024,2024,11
2024-06-10,34709420097175.88,2024,2024,10
2024-06-07,34672892047832.53,2024,2024,07
2024-06-06,34670632654267.19,2024,2024,06
2024-06-05,34659901034605.69,2024,2024,05
2024-06-04,34655635889090.12,2024,2024,04
